 ,1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,61
2,439,332,329,350,398,421,440,442,461,463,467,478,471,476,491,503,502,496,494,503,498
6,484,506,795,976,1061,1161,1203,1245,1253,1277,1295,1316,1322,1343,1314,1338,1329,1343,1327,1359,1375
10,692,1004,1276,1545,1752,1821,1874,1951,2008,2152,2175,2281,2118,2237,2390,2336,2264,2394,2304,2358,2425
14,1212,1344,2085,2353,2293,2381,2446,2501,2502,2581,2588,2610,2627,2611,2691,2728,2650,2601,2757,2524,2689
18,1373,1417,2288,2645,2894,2887,3088,3072,3193,3209,3203,3286,3338,3395,3358,3414,3384,3391,3379,3397,3473
22,2849,2846,3031,3119,2905,2911,2809,2866,2871,2773,2843,2816,2880,2853,2826,2943,2899,2870,2899,2871,2890
26,3358,3353,3292,3341,3381,3373,3318,3332,3222,3287,3384,3339,3337,3330,3376,3299,3354,3229,3330,3358,3347
30,3774,3886,3820,3868,3808,3840,3864,3814,3870,3831,3695,3639,3753,3856,3775,3801,3867,3783,3844,3840,3859
34,4280,4278,4237,4324,4242,4326,4363,4279,4305,4084,4342,4233,4299,4298,4335,4344,4465,4359,4348,4402,4296
38,4808,4764,4697,4746,4793,4755,4824,4746,4751,4815,4819,4759,4756,4880,4768,4800,4776,4747,4802,4768,4744
42,5358,5350,5259,5355,5287,5241,5365,5389,5385,5361,5273,5208,5275,5369,5353,5289,5313,5444,5364,5393,5278
46,5870,5768,5823,5659,5883,5802,5796,5802,5832,5700,5530,5716,5681,5813,5858,5676,5875,5773,5838,5787,5897
50,6274,6227,6333,6350,6345,6234,6331,6295,6245,6304,6278,6276,6315,6299,6341,6191,6239,6340,6285,6386,6272
54,6844,6868,6852,6926,6564,6769,6805,6855,6799,6706,6813,6864,6842,6665,6814,6892,6805,6854,6830,6830,6828
58,7413,7202,7256,7217,7333,7296,7317,7256,7326,7634,7367,7321,7328,7340,7276,7260,7315,7240,7319,7324,7336
62,7759,7694,7702,7572,7805,7765,7531,7785,7862,7833,7818,7548,7685,7748,7754,7794,7838,7604,7796,7779,7820
66,8401,8264,8108,8286,8316,8156,8225,8246,8241,8373,8281,8233,8276,8197,8249,8302,8319,8259,8293,8292,8313
70,8769,8614,8784,8659,8806,8723,8705,8869,8777,8824,8905,8879,8746,6023,5909,5583,5438,5681,5781,5459,5831
74,6002,6368,6065,6210,5949,6285,5886,5729,5639,5817,5743,5784,6057,6013,6138,5636,5586,6180,6214,5843,6275
78,6137,6338,6379,6664,7695,6465,6399,6386,6377,6400,6236,6070,6065,6263,6208,6097,6418,6489,6118,6215,6148
82,6810,6751,6712,6843,6757,6918,6340,6555,6915,6682,6705,6663,6819,6644,6610,6542,6640,6951,6670,6291,6558
86,7024,6733,6933,7508,7061,6752,7232,6919,7518,6866,6986,6461,6981,6762,6806,7234,6652,7060,6789,7077,6918
90,7384,7177,7266,7233,7200,7140,7506,7064,7485,6819,7381,6871,6951,7238,7081,7230,7426,6827,7128,27688,8756
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
, ,2,6,10,14,18,22,,,,,,,,,,,,,,
,1,439,484,692,1212,1373,2849,,,,,,,,,,,,,,
,4,332,506,1004,1344,1417,2846,,,,,,,,,,,,,,
,7,329,795,1276,2085,2288,3031,,,,,,,,,,,,,,
,10,350,976,1545,2353,2645,3119,,,,,,,,,,,,,,
,13,398,1061,1752,2293,2894,2905,,,,,,,,,,,,,,
,16,421,1161,1821,2381,2887,2911,,,,,,,,,,,,,,
,19,440,1203,1874,2446,3088,2809,,,,,,,,,,,,,,
,22,442,1245,1951,2501,3072,2866,,,,,,,,,,,,,,
,25,461,1253,2008,2502,3193,2871,,,,,,,,,,,,,,
,28,463,1277,2152,2581,3209,2773,,,,,,,,,,,,,,
,31,467,1295,2175,2588,3203,2843,,,,,,,,,,,,,,
,34,478,1316,2281,2610,3286,2816,,,,,,,,,,,,,,
,37,471,1322,2118,2627,3338,2880,,,,,,,,,,,,,,
,40,476,1343,2237,2611,3395,2853,,,,,,,,,,,,,,
,43,491,1314,2390,2691,3358,2826,,,,,,,,,,,,,,
,46,503,1338,2336,2728,3414,2943,,,,,,,,,,,,,,
,49,502,1329,2264,2650,3384,2899,,,,,,,,,,,,,,
,52,496,1343,2394,2601,3391,2870,,,,,,,,,,,,,,
,55,494,1327,2304,2757,3379,2899,,,,,,,,,,,,,,
,58,503,1359,2358,2524,3397,2871,,,,,,,,,,,,,,
,61,498,1375,2425,2689,3473,2890,,,,,,,,,,,,,,
